推荐ID,语言,评论内容,创建时间戳,更新时间戳,是否好评,好评数,有趣票数,加权评分,评论数,Steam购买,免费获得,已退款,抢先体验期间撰写,主要使用SteamDeck,应用发布日期,Steam ID,用户名,在线状态,个人资料链接,拥有游戏数,用户评论数,总游戏时间,近两周游戏时间,评论时游戏时间,最后游玩时间戳,头像,反应总数,主板制造商,主板型号,显卡,显卡厂商ID,显卡设备ID,GPU数量,系统内存(MB),操作系统,CPU厂商,CPU名称,游戏设备类型,DirectX驱动版本,显卡描述,驱动版本,驱动日期,显存(MB),屏幕宽度,屏幕高度
222891693,schinese,1400小时，你明明能用这些时间来好好读些书去健身房强健体魄，去和喜欢的女孩子看电影，哪怕是和哥们儿出门喝个烂醉。但是你选择了在网吧打CSGO，聚精会神的和另外9个基佬在一个地图里相互射击，对着屏幕时而傻笑，时而专注紧张你，却不曾对1400多小时有一丝后悔。在这个充斥着作弊者，装逼犯的垃圾游戏环境下，不顺心的糟糕游戏体验让你--度想着“再打这个游戏我他妈就是狗”。然而每当你长枪局爆头突破破点，每当你感受着耳机里响起此起彼伏的笑声还有艰难地拿下一个个1vN残局之后你的肾上腺素会飙升而你更会享受着这一属于你的时刻。你还是会打开这一款你曾无数次恨透了的游戏。你不得不承认，你爱这款游戏，他已经成为了你生活的一部分,1775757581,1775757581,True,53,7,0.812242269515991211,1,True,False,False,False,False,1505494800,76561199531983904,我也试着去用心,offline,https://steamcommunity.com/profiles/76561199531983904/,8,1,86489,314,85763,1778259731,a93c5b1df444d32fac31dfc5f0289e4caa94e1e7,2,,,,,,,,,,,,,,,,,,
223985800,schinese,20多年的经典，HF 1.5 时期的古早玩家，如今又陪着儿子再战江湖，快哉快哉,1777044129,1777044129,True,27,8,0.754513919353485107,0,True,False,False,False,False,1505494800,76561199880165139,ASDF,online,https://steamcommunity.com/profiles/76561199880165139/,2,1,66997,1940,64745,1778305233,116151eeedc303e651c66b01b67c8c6d8b8f4497,3,System manufacturer,System Product Name,NVIDIA GeForce RTX 3090,4318.0,8708.0,1.0,32676,Windows 11,AuthenticAMD,AMD Ryzen 9 5950X 16-Core Processor            ,1.0,32.0.15.9186,NVIDIA GeForce RTX 3090,32.0.15.9186,2026-1-20,24322.0,,
222948990,schinese,狗屎游戏毁我青春，官匹外挂满天飞，把把都是见面一枪头，奇怪的timing，打哪里哪里人多，还嚣张地嘲讽，还有那个国际服官匹，每次都是些说着鸟语的挂机老外，天天就大吼大叫，一输就喷队友挂机；平台又是非常“公平”elo机制，B+局把把四个嘴角流口水，连路都不会走的队友，有时候对面还都是和你水平相当的精锐部队；匹了半天steam登录超时，退出来之后又被禁赛，四排踢不了队友还偏偏匹配一个兼具小脑萎缩，脑桥中断，哑巴，聋子，帕金森于一身的怪胎，对面eco局起个全甲大狙前压送狙导致被翻盘，四个队友全在a包，自己看到对面的人第一秒直接跑到b下包，之后直接消失导致没人守包；还有那个V社，天天在更新些什么东西，你更新点无关紧要的动画，视角，换弹，不如把每次的更新日志改成修复已知问题别让玩家知道其实自己早已产能不足无法使cs回归巅峰，每次修复都完美解决了玩家过多的bug，有这时间不如好好研究研究你那反作弊和竞技冷却，天天吃饱了撑着去修复一个小鸡走路姿态问题,1775833447,1775995861,True,20,13,0.694910883903503418,0,True,False,False,False,False,1505494800,76561199085958476,BiggestNoob,online,https://steamcommunity.com/profiles/76561199085958476/,71,8,104496,1044,102498,1778249617,74af84ec01f61d381769b5e961952d8b80d71fdb,2,,,,,,,,,,,,,,,,,,
223387760,schinese,为什么热爱cs？就相当于为什么你们天天玩cs玩不腻？天天就是那10个人，打过来打过去，有什么意思？那问题就回来了，为什么cs好玩？很简单，因为每一次击杀，每一次战术，每一次残局，每一次胜利。如果有人问我cs的美学是什么？更简单！当你扛着大心脏打下每一个绝妙而又令人不敢相信的残局处理，当你和队友每一次完美而又像艺术般的道具配合，当你每一个大胆而又高智商的战术制订，当你每一次精彩而又无懈可击的极限击杀。这就是cs的美学，这就是cs。他不仅仅是一款游戏，更是我们为冠军，胜利，荣耀冲击的心！我们的喜怒哀乐，每一次失败懊悔不已，为什么这个残局我没有拿下。每一次胜利的激动喜悦，卧槽牛逼，这枪够狠。每一次刷屏的吹逼大会，对面这阵容，真的，用脚打都是欺负他们了。都在这里面，点点滴滴都记录着在。当我们以后某一天再次打开游戏，曾经一起上分的队友早已不在，曾经打得对面一脸懵逼的战术早已失效，但是那个时候，我们回到了那个连少年都不算的年纪，对队友说句，也对自己说句:那个少年，他 回来了！我不是热爱cs，我只是热爱这段时光。,1776362190,1776362190,True,21,4,0.684861838817596436,0,True,False,False,False,False,1505494800,76561197972573972,1sec,offline,https://steamcommunity.com/profiles/76561197972573972/,20,1,112221,4915,103622,1778254341,b25c4d107df513e77dc761f66b55502001a29756,3,,,,,,,,,,,,,,,,,,
222994220,schinese,好好一个竞技游戏非要乱更新一些没用的东西 要不是为了箱子真不想玩了,1775882454,1775882454,True,12,2,0.574170410633087158,0,True,False,False,False,False,1505494800,76561199822128398,Rollo Tomasi,offline,https://steamcommunity.com/profiles/76561199822128398/,0,1,21562,3036,15982,1778256089,72d10b35f8ce8eb082fca15e12828d396008272e,1,,,,,,,,,,,,,,,,,,
224144703,schinese,"也是玩了1145个小时了，很好的游戏，就是官方喜欢搞点小巧思来推翻玩家所习惯的玩法，除此之外cs真是最纯粹的fps游戏了，推荐哦
",1777213209,1777213209,True,4,2,0.565701544284820557,3,True,False,False,False,False,1505494800,76561199367570960,月痕骑士,offline,https://steamcommunity.com/profiles/76561199367570960/,123,2,70312,1756,68704,1778312583,ce4e0d0f21894bc520da7ac9a32e06efe32838cf,1,,,,,,,,,,,,,,,,,,
224526660,schinese,改动机制越来越垃圾，弱智游戏仗着没有竞品随意改动，无脑为了真实而真实，让无数玩家感到恶心,1777657571,1777657571,True,12,0,0.550673544406890869,0,True,False,False,False,False,1505494800,76561199851149302,月下独酌,offline,https://steamcommunity.com/profiles/76561199851149302/,29,8,4020,1087,3253,1777962911,b7066fb6ff81e0241bea7620e0bda9e06b669c13,1,,,,,,,,,,,,,,,,,,
224460873,schinese,CS就是纯粹的枪战 我个人觉得跟瓦洛兰特是完全不同的两个游戏 瓦偏向于在技能的加持下考研枪法 而cs则是在战术的应用上考研枪法 更拼个人的枪法 而瓦则是可以在借助技能的加持下击杀敌人,1777585913,1777585913,True,2,0,0.545454561710357666,0,True,False,False,False,False,1505494800,76561199882830706,niente,offline,https://steamcommunity.com/profiles/76561199882830706/,53,2,6529,1378,6104,1778314431,084af891daa18ba206ff6cf6bf399b4233377b2b,0,,,,,,,,,,,,,,,,,,
224374706,schinese,更新了之后总是没有声音，G胖你更尼玛呢？,1777487397,1777487397,False,6,0,0.579691767692565918,2,True,False,False,False,False,1505494800,76561198848359243,Kev1n,offline,https://steamcommunity.com/profiles/76561198848359243/,6,1,52388,1941,51452,1777908026,fef49e7fa7e1997310d705b2a6158ff8dc1cdfeb,0,,,,,,,,,,,,,,,,,,
225006465,schinese,优化太差，经常走着走着就黑屏了，毫无游戏体验,1778208009,1778208009,True,1,0,0.523809552192687988,0,True,False,False,False,False,1505494800,76561199194763926,Em1ng,offline,https://steamcommunity.com/profiles/76561199194763926/,109,1,52246,1749,52142,1778235217,1c0b5c37a442a2d39f32902ec42f2e26ba6a142e,0,,,,,,,,,,,,,,,,,,
224799318,schinese,很棒的游戏 我感觉我的爆头率上涨的原因是只能爆头杀一个 然后就有100%爆头了,1777947372,1777947372,True,1,1,0.523809552192687988,2,True,False,False,False,False,1505494800,76561199477813941,Kawaragi Momoka_B0mberman,offline,https://steamcommunity.com/id/lvsu57/,33,1,26732,2312,26157,1778239453,3e80564ac2b41dbea4ebc67bd79553922da09316,0,,,,,,,,,,,,,,,,,,
224725877,schinese,游戏是好游戏，能把优化和外挂问题解决掉才是真正的开始,1777857423,1777857423,True,1,0,0.523809552192687988,0,True,False,False,False,False,1505494800,76561198709610115,yjbyang,offline,https://steamcommunity.com/profiles/76561198709610115/,1,1,2903,2649,2601,1778170571,f8b6c7cfe07670445284bda2aeab7f68c077b519,0,,,,,,,,,,,,,,,,,,
